DATE,LNS11027662
2018-07-01,57136
2018-08-01,57661
2018-09-01,57311
2018-10-01,57937
2018-11-01,58300
2018-12-01,58483
2019-01-01,58307
2019-02-01,58540
2019-03-01,58574
2019-04-01,58382
2019-05-01,58336
2019-06-01,58448
2019-07-01,58686
2019-08-01,58734
2019-09-01,59099
2019-10-01,59602
2019-11-01,60018
2019-12-01,59947
2020-01-01,60192
2020-02-01,59972
2020-03-01,60470
2020-04-01,60126
2020-05-01,60478
2020-06-01,61743
2020-07-01,61810
2020-08-01,61815
2020-09-01,59861
2020-10-01,59530
2020-11-01,59620
2020-12-01,59940
2021-01-01,60391
2021-02-01,60744
2021-03-01,60835
2021-04-01,60804
2021-05-01,60727
2021-06-01,60483
2021-07-01,60927
2021-08-01,60794
2021-09-01,60785
